True_Path,Wrong_Path,Confidence
wrong_gradcam/ILSVRC2012_val_00041912_GroundTruth_otterhound_Airedale_40.png,wrong_gradcam/ILSVRC2012_val_00041912_WrongPred_otterhound_Airedale_40.png,0.395266
wrong_gradcam/ILSVRC2012_val_00038554_GroundTruth_otterhound_briard_41.png,wrong_gradcam/ILSVRC2012_val_00038554_WrongPred_otterhound_briard_41.png,0.41137326
wrong_gradcam/ILSVRC2012_val_00037347_GroundTruth_otterhound_Airedale_81.png,wrong_gradcam/ILSVRC2012_val_00037347_WrongPred_otterhound_Airedale_81.png,0.8095004
wrong_gradcam/ILSVRC2012_val_00023428_GroundTruth_otterhound_giant_schnauzer_60.png,wrong_gradcam/ILSVRC2012_val_00023428_WrongPred_otterhound_giant_schnauzer_60.png,0.59816456
wrong_gradcam/ILSVRC2012_val_00022982_GroundTruth_otterhound_briard_63.png,wrong_gradcam/ILSVRC2012_val_00022982_WrongPred_otterhound_briard_63.png,0.62595606
wrong_gradcam/ILSVRC2012_val_00018989_GroundTruth_otterhound_borzoi_53.png,wrong_gradcam/ILSVRC2012_val_00018989_WrongPred_otterhound_borzoi_53.png,0.5271331
wrong_gradcam/ILSVRC2012_val_00018912_GroundTruth_otterhound_Airedale_94.png,wrong_gradcam/ILSVRC2012_val_00018912_WrongPred_otterhound_Airedale_94.png,0.9392194
wrong_gradcam/ILSVRC2012_val_00018526_GroundTruth_otterhound_hand_blower_24.png,wrong_gradcam/ILSVRC2012_val_00018526_WrongPred_otterhound_hand_blower_24.png,0.24235387
wrong_gradcam/ILSVRC2012_val_00017126_GroundTruth_otterhound_komondor_38.png,wrong_gradcam/ILSVRC2012_val_00017126_WrongPred_otterhound_komondor_38.png,0.3782866
wrong_gradcam/ILSVRC2012_val_00017046_GroundTruth_otterhound_Tibetan_terrier_49.png,wrong_gradcam/ILSVRC2012_val_00017046_WrongPred_otterhound_Tibetan_terrier_49.png,0.49097854
wrong_gradcam/ILSVRC2012_val_00010062_GroundTruth_otterhound_silky_terrier_42.png,wrong_gradcam/ILSVRC2012_val_00010062_WrongPred_otterhound_silky_terrier_42.png,0.4246093
wrong_gradcam/ILSVRC2012_val_00009546_GroundTruth_otterhound_ox_35.png,wrong_gradcam/ILSVRC2012_val_00009546_WrongPred_otterhound_ox_35.png,0.3461371
wrong_gradcam/ILSVRC2012_val_00007801_GroundTruth_otterhound_Tibetan_terrier_54.png,wrong_gradcam/ILSVRC2012_val_00007801_WrongPred_otterhound_Tibetan_terrier_54.png,0.542003
wrong_gradcam/ILSVRC2012_val_00006093_GroundTruth_otterhound_Lakeland_terrier_27.png,wrong_gradcam/ILSVRC2012_val_00006093_WrongPred_otterhound_Lakeland_terrier_27.png,0.26910582
wrong_gradcam/ILSVRC2012_val_00004684_GroundTruth_otterhound_komondor_64.png,wrong_gradcam/ILSVRC2012_val_00004684_WrongPred_otterhound_komondor_64.png,0.64170676
wrong_gradcam/ILSVRC2012_val_00002397_GroundTruth_otterhound_Airedale_34.png,wrong_gradcam/ILSVRC2012_val_00002397_WrongPred_otterhound_Airedale_34.png,0.33848703
wrong_gradcam/ILSVRC2012_val_00041092_GroundTruth_Mexican_hairless_Italian_greyhound_34.png,wrong_gradcam/ILSVRC2012_val_00041092_WrongPred_Mexican_hairless_Italian_greyhound_34.png,0.33791414
wrong_gradcam/ILSVRC2012_val_00031864_GroundTruth_Mexican_hairless_hog_56.png,wrong_gradcam/ILSVRC2012_val_00031864_WrongPred_Mexican_hairless_hog_56.png,0.56126887
wrong_gradcam/ILSVRC2012_val_00018055_GroundTruth_Mexican_hairless_Staffordshire_bullterrier_95.png,wrong_gradcam/ILSVRC2012_val_00018055_WrongPred_Mexican_hairless_Staffordshire_bullterrier_95.png,0.94840336
wrong_gradcam/ILSVRC2012_val_00008137_GroundTruth_Mexican_hairless_curly-coated_retriever_23.png,wrong_gradcam/ILSVRC2012_val_00008137_WrongPred_Mexican_hairless_curly-coated_retriever_23.png,0.2318206
wrong_gradcam/ILSVRC2012_val_00049243_GroundTruth_space_bar_typewriter_keyboard_91.png,wrong_gradcam/ILSVRC2012_val_00049243_WrongPred_space_bar_typewriter_keyboard_91.png,0.909118
wrong_gradcam/ILSVRC2012_val_00047506_GroundTruth_space_bar_notebook_86.png,wrong_gradcam/ILSVRC2012_val_00047506_WrongPred_space_bar_notebook_86.png,0.8617883
wrong_gradcam/ILSVRC2012_val_00045073_GroundTruth_space_bar_notebook_66.png,wrong_gradcam/ILSVRC2012_val_00045073_WrongPred_space_bar_notebook_66.png,0.6631597
wrong_gradcam/ILSVRC2012_val_00044098_GroundTruth_space_bar_joystick_17.png,wrong_gradcam/ILSVRC2012_val_00044098_WrongPred_space_bar_joystick_17.png,0.1726826
wrong_gradcam/ILSVRC2012_val_00043621_GroundTruth_space_bar_typewriter_keyboard_57.png,wrong_gradcam/ILSVRC2012_val_00043621_WrongPred_space_bar_typewriter_keyboard_57.png,0.568385
wrong_gradcam/ILSVRC2012_val_00043429_GroundTruth_space_bar_computer_keyboard_87.png,wrong_gradcam/ILSVRC2012_val_00043429_WrongPred_space_bar_computer_keyboard_87.png,0.8700288
wrong_gradcam/ILSVRC2012_val_00039462_GroundTruth_space_bar_typewriter_keyboard_54.png,wrong_gradcam/ILSVRC2012_val_00039462_WrongPred_space_bar_typewriter_keyboard_54.png,0.5364994
wrong_gradcam/ILSVRC2012_val_00032326_GroundTruth_space_bar_typewriter_keyboard_53.png,wrong_gradcam/ILSVRC2012_val_00032326_WrongPred_space_bar_typewriter_keyboard_53.png,0.53302085
wrong_gradcam/ILSVRC2012_val_00031902_GroundTruth_space_bar_computer_keyboard_40.png,wrong_gradcam/ILSVRC2012_val_00031902_WrongPred_space_bar_computer_keyboard_40.png,0.40489233
