True_Path,Wrong_Path,Confidence,Sim,C_PERPLEXITY
wrong_gradcam/ILSVRC2012_val_00041912_GroundTruth_otterhound_Airedale_40.png,wrong_gradcam/ILSVRC2012_val_00041912_WrongPred_otterhound_Airedale_40.png,0.395266,155.08205,3.910044984
wrong_gradcam/ILSVRC2012_val_00038554_GroundTruth_otterhound_briard_41.png,wrong_gradcam/ILSVRC2012_val_00038554_WrongPred_otterhound_briard_41.png,0.41137326,94.703354,3.174337086
wrong_gradcam/ILSVRC2012_val_00037347_GroundTruth_otterhound_Airedale_81.png,wrong_gradcam/ILSVRC2012_val_00037347_WrongPred_otterhound_Airedale_81.png,0.8095004,276.5249,1.627963138
wrong_gradcam/ILSVRC2012_val_00023428_GroundTruth_otterhound_giant_schnauzer_60.png,wrong_gradcam/ILSVRC2012_val_00023428_WrongPred_otterhound_giant_schnauzer_60.png,0.59816456,131.35802,7.37499935
wrong_gradcam/ILSVRC2012_val_00022982_GroundTruth_otterhound_briard_63.png,wrong_gradcam/ILSVRC2012_val_00022982_WrongPred_otterhound_briard_63.png,0.62595606,410.7103,1.472726788
wrong_gradcam/ILSVRC2012_val_00018989_GroundTruth_otterhound_borzoi_53.png,wrong_gradcam/ILSVRC2012_val_00018989_WrongPred_otterhound_borzoi_53.png,0.5271331,123.990074,6.389695418
wrong_gradcam/ILSVRC2012_val_00018912_GroundTruth_otterhound_Airedale_94.png,wrong_gradcam/ILSVRC2012_val_00018912_WrongPred_otterhound_Airedale_94.png,0.9392194,301.95526,1.109559183
wrong_gradcam/ILSVRC2012_val_00018526_GroundTruth_otterhound_hand_blower_24.png,wrong_gradcam/ILSVRC2012_val_00018526_WrongPred_otterhound_hand_blower_24.png,0.24235387,186.19843,3.681649227
wrong_gradcam/ILSVRC2012_val_00017126_GroundTruth_otterhound_komondor_38.png,wrong_gradcam/ILSVRC2012_val_00017126_WrongPred_otterhound_komondor_38.png,0.3782866,172.48868,5.213979372
wrong_gradcam/ILSVRC2012_val_00017046_GroundTruth_otterhound_Tibetan_terrier_49.png,wrong_gradcam/ILSVRC2012_val_00017046_WrongPred_otterhound_Tibetan_terrier_49.png,0.49097854,134.32999,3.519801538
wrong_gradcam/ILSVRC2012_val_00010062_GroundTruth_otterhound_silky_terrier_42.png,wrong_gradcam/ILSVRC2012_val_00010062_WrongPred_otterhound_silky_terrier_42.png,0.4246093,84.236946,3.048290421
wrong_gradcam/ILSVRC2012_val_00009546_GroundTruth_otterhound_ox_35.png,wrong_gradcam/ILSVRC2012_val_00009546_WrongPred_otterhound_ox_35.png,0.3461371,745.10016,5.283533124
wrong_gradcam/ILSVRC2012_val_00007801_GroundTruth_otterhound_Tibetan_terrier_54.png,wrong_gradcam/ILSVRC2012_val_00007801_WrongPred_otterhound_Tibetan_terrier_54.png,0.542003,121.58369,2.935985041
