True_Path,Wrong_Path,Confidence,Dis,C_PERPLEXITY
wrong_gradcam/ILSVRC2012_val_00041912_GroundTruth_otterhound_Airedale_40.png,wrong_gradcam/ILSVRC2012_val_00041912_WrongPred_otterhound_Airedale_40.png,0.395266,167.54721,3.910044984
wrong_gradcam/ILSVRC2012_val_00038554_GroundTruth_otterhound_briard_41.png,wrong_gradcam/ILSVRC2012_val_00038554_WrongPred_otterhound_briard_41.png,0.41137326,98.13774,3.174337086
wrong_gradcam/ILSVRC2012_val_00037347_GroundTruth_otterhound_Airedale_81.png,wrong_gradcam/ILSVRC2012_val_00037347_WrongPred_otterhound_Airedale_81.png,0.8095004,282.91486,1.627963138
wrong_gradcam/ILSVRC2012_val_00023428_GroundTruth_otterhound_giant_schnauzer_60.png,wrong_gradcam/ILSVRC2012_val_00023428_WrongPred_otterhound_giant_schnauzer_60.png,0.59816456,133.59612,7.37499935
wrong_gradcam/ILSVRC2012_val_00022982_GroundTruth_otterhound_briard_63.png,wrong_gradcam/ILSVRC2012_val_00022982_WrongPred_otterhound_briard_63.png,0.62595606,423.1398,1.472726788
wrong_gradcam/ILSVRC2012_val_00018989_GroundTruth_otterhound_borzoi_53.png,wrong_gradcam/ILSVRC2012_val_00018989_WrongPred_otterhound_borzoi_53.png,0.5271331,128.80125,6.389695418
wrong_gradcam/ILSVRC2012_val_00018912_GroundTruth_otterhound_Airedale_94.png,wrong_gradcam/ILSVRC2012_val_00018912_WrongPred_otterhound_Airedale_94.png,0.9392194,302.61972,1.109559183
wrong_gradcam/ILSVRC2012_val_00018526_GroundTruth_otterhound_hand_blower_24.png,wrong_gradcam/ILSVRC2012_val_00018526_WrongPred_otterhound_hand_blower_24.png,0.24235387,189.69623,3.681649227
wrong_gradcam/ILSVRC2012_val_00017126_GroundTruth_otterhound_komondor_38.png,wrong_gradcam/ILSVRC2012_val_00017126_WrongPred_otterhound_komondor_38.png,0.3782866,176.86205,5.213979372
wrong_gradcam/ILSVRC2012_val_00017046_GroundTruth_otterhound_Tibetan_terrier_49.png,wrong_gradcam/ILSVRC2012_val_00017046_WrongPred_otterhound_Tibetan_terrier_49.png,0.49097854,144.21686,3.519801538
wrong_gradcam/ILSVRC2012_val_00010062_GroundTruth_otterhound_silky_terrier_42.png,wrong_gradcam/ILSVRC2012_val_00010062_WrongPred_otterhound_silky_terrier_42.png,0.4246093,86.43431,3.048290421
wrong_gradcam/ILSVRC2012_val_00009546_GroundTruth_otterhound_ox_35.png,wrong_gradcam/ILSVRC2012_val_00009546_WrongPred_otterhound_ox_35.png,0.3461371,757.0902,5.283533124
wrong_gradcam/ILSVRC2012_val_00007801_GroundTruth_otterhound_Tibetan_terrier_54.png,wrong_gradcam/ILSVRC2012_val_00007801_WrongPred_otterhound_Tibetan_terrier_54.png,0.542003,125.69332,2.935985041
wrong_gradcam/ILSVRC2012_val_00006093_GroundTruth_otterhound_Lakeland_terrier_27.png,wrong_gradcam/ILSVRC2012_val_00006093_WrongPred_otterhound_Lakeland_terrier_27.png,0.26910582,129.9926,3.857320641
wrong_gradcam/ILSVRC2012_val_00004684_GroundTruth_otterhound_komondor_64.png,wrong_gradcam/ILSVRC2012_val_00004684_WrongPred_otterhound_komondor_64.png,0.64170676,183.59608,2.435240795
